100   4                          
200   4                          
300   4                          
400   4                          
500   4                          
600   4                          
700   4                          
800   4                          
900   4                          
1000   4                          
100   4                          
200   4                          
300   4                          
400   4                          
500   4                          
600   4                          
700   4                          
800   4                          
900   4                          
1000   4                          
100   4   18746.5394175000           17410.9300347912           131.9504832685 93.3030815048
200   4   15294.0804715000           69575.3938914660           263.7714804361 186.5146025096
300   4   13124.3359945000           764.4148923320           27.6480540424 19.5501265010
400   4   11574.2482695000           10234.1200127520           101.1638275904 71.5336285036
500   4   10095.3219005000           26168.0804163092           161.7655105895 114.3854895058
600   4   9126.4119230000           2148.3672952341           46.3504832254 32.7747410016
700   4   8398.4458710000           2193.2260541238           46.8318914215 33.1151480016
800   4   7651.0430125000           1223.3674402996           34.9766699429 24.7322405012
900   4   6961.4872575000           23.3461949557           4.8317900363 3.4165915001
1000   4   6536.2330785000           1217.3955785108           34.8911962894 24.6718015012
