10   8   463760942.0000000000           0           0 0
15   8   463760942.0000000000           0           0 0
20   8   463760942.0000000000           0           0 0
25   8   463760942.0000000000           0           0 0
30   8   463760942.0000000000           0           0 0
35   8   463760942.0000000000           0           0 0
40   8   463760942.0000000000           0           0 0
45   8   186923629.4000000001           9461592302171619.6027287706           97270716.5706700219 30759701.4006651306
50   8   156163928.0000000000           0           0 0
55   8   156163928.0000000000           0           0 0
60   8   156163928.0000000000           0           0 0
65   8   156163928.0000000000           0           0 0
70   8   156163928.0000000000           0           0 0
75   8   156163928.0000000000           0           0 0
80   8   156163928.0000000000           0           0 0
85   8   156163928.0000000000           0           0 0
90   8   156163928.0000000000           0           0 0
95   8   156163928.0000000000           0           0 0
100   8   1997860725.0000000000           0           0 0
10   8   906374619.0000000000           0           0 0
15   8   906374619.0000000000           0           0 0
20   8   906374619.0000000000           0           0 0
25   8   610717738.0000000000           0           0 0
30   8   610717738.0000000000           0           0 0
35   8   610717738.0000000000           0           0 0
40   8   610717738.0000000000           0           0 0
45   8   610717738.0000000000           0           0 0
50   8   610717738.0000000000           0           0 0
55   8   610717738.0000000000           0           0 0
60   8   610717738.0000000000           0           0 0
65   8   610717738.0000000000           0           0 0
70   8   610717738.0000000000           0           0 0
75   8   687729378.2000000000           59307927262942560.4000000000           243532189.3773851005 77011640.2016652568
80   8   1380834140.0000000000           0           0 0
85   8   1380834140.0000000000           0           0 0
90   8   1380834140.0000000000           0           0 0
95   8   1380834140.0000000000           0           0 0
100   8   1380834140.0000000000           0           0 0
10   8   638005714.9999999997           167282498673805387.8637805287           409001832.1154630083 129337735.6694633939
15   8   1026018922.0000000000           0           0 0
20   8   1026018922.0000000000           0           0 0
25   8   1026018922.0000000000           0           0 0
30   8   1026018922.0000000000           0           0 0
35   8   1026018922.0000000000           0           0 0
40   8   1026018922.0000000000           0           0 0
45   8   1026018922.0000000000           0           0 0
50   8   1026018922.0000000000           0           0 0
55   8   1026018922.0000000000           0           0 0
60   8   1026018922.0000000000           0           0 0
65   8   820080867.3000000002           20195467796961996.2441322392           142110758.9064318389 44939367.8169101387
70   8   731821701.0000000000           0           0 0
75   8   731821701.0000000000           0           0 0
80   8   731821701.0000000000           0           0 0
85   8   731821701.0000000000           0           0 0
90   8   731821701.0000000000           0           0 0
95   8   731821701.0000000000           0           0 0
100   8   731821701.0000000000           0           0 0
10   8   1511653267.7999999999           162109396886443778.4415007461           402628112.3896390054 127322188.5193050336
15   8   1979464860.0000000000           0           0 0
20   8   1979464860.0000000000           0           0 0
25   8   1979464860.0000000000           0           0 0
30   8   1979464860.0000000000           0           0 0
35   8   1979464860.0000000000           0           0 0
40   8   1979464860.0000000000           0           0 0
45   8   1979464860.0000000000           0           0 0
50   8   1979464860.0000000000           0           0 0
55   8   1979464860.0000000000           0           0 0
10   8   1226743282.9199999994           104292662205597468.4840540836           322943744.6454064211 45671142.3565316317
15   8   1828714707.0000000000           0           0 0
20   8   1828714707.0000000000           0           0 0
25   8   1549469187.1200000010           5078901022995102.6273577757           71266408.7982206567 10078592.1865002155
30   8   1531645005.0000000000           0           0 0
35   8   730429248.3400000007           474344843881962808.9894379280           688726973.3950913069 97400702.6556530847
40   8   150238528.0000000000           0           0 0
45   8   592252187.6799999995           631317250260277261.4803186008           794554749.6933595585 112367010.3074713605
50   8   1991962110.0000000000           0           0 0
55   8   1991962110.0000000000           0           0 0
60   8   727564794.6400000011           141854531596235607.2877277813           376635807.6394696798 53264346.7244014246
10   8   982586183.5199999980           855050065398221927.0084229936           924689172.3158771404 92468917.2315877140
15   8   1392791911.2500000014           426822997424324756.7430862210           653316919.5913456187 65331691.9591345618
20   8   419926286.8400000008           11530201879733484.7744511823           107378777.6040195233 10737877.7604019523
25   8   175123868.0000000000           0           0 0
10   8   866211862.4000000050           460691431619743902.5507124390           678742537.0637557901 47994345.0638593659
15   8   1205294918.1099999988           655456099845525917.1476657610           809602433.2013373569 57247537.0583047392
20   8   966761938.5999999959           134919342723678841.7034736483           367313684.3675700053 25972999.7039492332
25   8   829959993.9200000031           21848174238785413.5579312015           147811279.1324985914 10451835.7810676121
30   8   976297177.4749999990           342814008092912438.7199718375           585503209.2934354179 41401328.9698780657
35   8   597102022.8149999957           195292331725365393.9962963833           441918919.8544970579 31248386.4964433163
40   8   1441147195.5200000036           21473444779107053.3172500912           146538202.4562436527 10361815.6659923852
10   8   66136451.0000000000           0           0 0
15   8   66136451.0000000000           0           0 0
20   8   66136451.0000000000           0           0 0
25   8   66136451.0000000000           0           0 0
30   8   66136451.0000000000           0           0 0
35   8   1901165319.0000000000           0           0 0
40   8   1901165319.0000000000           0           0 0
45   8   1901165319.0000000000           0           0 0
50   8   1901165319.0000000000           0           0 0
55   8   1901165319.0000000000           0           0 0
60   8   1901165319.0000000000           0           0 0
65   8   1901165319.0000000000           0           0 0
70   8   1901165319.0000000000           0           0 0
75   8   1901165319.0000000000           0           0 0
80   8   1901165319.0000000000           0           0 0
85   8   1901165319.0000000000           0           0 0
90   8   1901165319.0000000000           0           0 0
95   8   1901165319.0000000000           0           0 0
100   8   1901165319.0000000000           0           0 0
